children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
1,-8437.673028,42,bachelor's degree,0,married,0,F,employee,0,40620.102,purchase of the house
1,-4024.803754,36,secondary education,1,married,0,F,employee,0,17932.802,car purchase
0,-5623.42261,33,Secondary Education,1,married,0,M,employee,0,23341.752,purchase of the house
3,-4124.747207,32,secondary education,1,married,0,M,employee,0,42820.568,supplementary education
0,340266.072,53,secondary education,1,civil partnership,1,F,retiree,0,25378.572,to have a wedding
0,-926.1858309,27,bachelor's degree,0,civil partnership,1,M,business,0,40922.17,purchase of the house
0,-2879.202052,43,bachelor's degree,0,married,0,F,business,0,38484.156,housing transactions
0,-152.7795692,50,SECONDARY EDUCATION,1,married,0,M,employee,0,21731.829,education
2,-6929.865299,35,BACHELOR'S DEGREE,0,civil partnership,1,F,employee,0,15337.093,having a wedding
0,-2188.756445,41,secondary education,1,married,0,M,employee,0,23108.15,purchase of the house for my family
2,-4171.483647,36,bachelor's degree,0,married,0,M,business,0,18230.959,buy real estate
0,-792.7018871,40,secondary education,1,married,0,F,employee,0,12331.077,buy commercial real estate
0,,65,secondary education,1,civil partnership,1,M,retiree,0,,to have a wedding
0,-1846.641941,54,some college,2,married,0,F,employee,0,20873.317,car purchase
0,-1844.956182,56,bachelor's degree,0,civil partnership,1,F,business,1,26420.466,buy residential real estate
1,-972.364419,26,secondary education,1,married,0,F,employee,0,18691.345,construction of own property
0,-1719.934226,35,secondary education,1,married,0,F,employee,0,46272.433,property
0,-2369.99972,33,bachelor's degree,0,civil partnership,1,M,employee,0,14465.694,building a property
0,400281.1369,53,secondary education,1,widow / widower,2,F,retiree,0,9091.804,buying a second-hand car
0,-10038.81855,48,SECONDARY EDUCATION,1,divorced,3,F,employee,0,38852.977,buying my own car
1,-1311.604166,36,secondary education,1,married,0,M,employee,0,33528.423,property
1,-253.6851658,33,secondary education,1,civil partnership,1,F,employee,0,21089.953,car purchase
1,-1766.644138,24,secondary education,1,civil partnership,1,F,employee,0,23948.983,buying a second-hand car
0,-272.981385,21,bachelor's degree,0,civil partnership,1,M,employee,0,20522.515,to have a wedding
1,338551.9529,57,secondary education,1,unmarried,4,F,retiree,0,46487.558,transactions with commercial real estate
0,363548.4893,67,secondary education,1,married,0,M,retiree,0,8818.041,buy real estate
0,,41,secondary education,1,married,0,M,civil servant,0,,education
0,-529.1916347,28,bachelor's degree,0,married,0,M,employee,0,49415.837,construction of own property
1,-717.2743239,26,bachelor's degree,0,married,0,F,employee,0,30058.118,construction of own property
0,,63,secondary education,1,unmarried,4,F,retiree,0,,building a real estate
1,335581.6685,62,secondary education,1,married,0,F,retiree,0,27432.971,transactions with commercial real estate
0,-1682.083438,47,primary education,3,married,0,F,employee,0,44077.71,housing
0,-4649.910832,34,SECONDARY EDUCATION,1,civil partnership,1,F,employee,1,22249.194,having a wedding
0,-1548.637544,48,secondary education,1,married,0,F,business,0,25159.326,purchase of the house
0,-4488.067031,35,secondary education,1,married,0,F,employee,0,16745.672,transactions with my real estate
0,394021.0722,68,secondary education,1,civil partnership,1,M,retiree,0,12448.908,having a wedding
0,-176.2166883,33,secondary education,1,unmarried,4,M,employee,0,22212.904,cars
0,-6448.81086,43,BACHELOR'S DEGREE,0,civil partnership,1,F,business,0,24660.621,car purchase
0,-597.8818273,25,bachelor's degree,0,unmarried,4,M,employee,1,30759.568,education
0,-650.5877964,31,bachelor's degree,0,civil partnership,1,F,business,0,120678.528,to become educated
0,-1030.362606,30,secondary education,1,unmarried,4,M,business,0,22858.493,buy real estate
0,,50,secondary education,1,married,0,F,civil servant,0,,second-hand car purchase
0,-1257.49619,20,some college,2,unmarried,4,F,employee,0,13130.414,getting an education
0,-4375.681384,43,some college,2,divorced,3,F,business,0,43673.141,car purchase
1,-1362.041728,26,SECONDARY EDUCATION,1,married,0,F,employee,0,16124.879,buying my own car
1,-1039.451741,49,secondary education,1,unmarried,4,F,employee,0,17021.747,to become educated
2,-2262.712304,37,secondary education,1,married,0,F,business,0,29229.194,second-hand car purchase
1,-2689.137274,33,bachelor's degree,0,civil partnership,1,M,civil servant,0,57004.465,having a wedding
0,-3341.067886,45,secondary education,1,married,0,F,employee,0,25930.483,construction of own property
0,-1181.443228,54,secondary education,1,married,0,F,employee,0,7134.689,car
0,353731.4323,63,secondary education,1,married,0,F,retiree,0,14774.837,cars
1,-6953.631655,50,bachelor's degree,0,civil partnership,1,F,employee,0,32511.949,wedding ceremony
1,-3554.671526,28,secondary education,1,married,0,F,employee,0,8439.428,to get a supplementary education
0,-4219.883386,61,SECONDARY EDUCATION,1,divorced,3,F,business,0,49832.576,purchase of my own house
0,-3480.072793,27,bachelor's degree,0,civil partnership,1,F,employee,0,14758.21,cars
0,,54,secondary education,1,civil partnership,1,F,retiree,1,,to have a wedding
0,370145.0872,64,secondary education,1,widow / widower,2,F,retiree,0,23862.567,education
0,-2424.809749,44,secondary education,1,widow / widower,2,F,employee,0,9378.625,education
0,-335.3186304,36,bachelor's degree,0,married,0,M,employee,0,66304.672,property
0,-4341.786775,53,secondary education,1,civil partnership,1,F,business,0,41819.121,real estate transactions
1,-2534.46239,48,secondary education,1,married,0,M,employee,0,20784.365,to become educated
0,-2986.20212,42,secondary education,1,civil partnership,1,F,employee,0,27837.996,buy real estate
0,-7845.649233,48,Bachelor's Degree,0,unmarried,4,M,civil servant,0,69662.111,getting higher education
